,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo,posse_de_veiculo,posse_de_imovel
0,0,Working,Secondary / secondary special,Married,House / apartment,58.8,3.1,1,0,0,0,2.0,False,1,1,1
1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.4,8.4,1,0,1,1,1.0,False,0,0,1
3,0,Working,Higher education,Married,House / apartment,46.2,2.1,1,1,1,1,2.0,False,1,1,1
4,0,Working,Incomplete higher,Married,House / apartment,29.2,3.0,1,0,0,0,2.0,False,0,1,0
6,0,Working,Secondary / secondary special,Married,House / apartment,27.5,4.0,1,0,1,0,2.0,False,0,0,1
8,1,Working,Secondary / secondary special,Single / not married,House / apartment,30.1,4.4,1,0,0,0,2.0,False,0,0,1
10,3,Working,Secondary / secondary special,Married,House / apartment,34.8,3.2,1,0,0,0,5.0,False,1,1,1
11,1,Commercial associate,Higher education,Married,House / apartment,32.4,5.5,1,0,0,0,3.0,False,1,0,1
14,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.2,12.2,1,0,1,0,2.0,False,1,1,1
19,2,Working,Secondary / secondary special,Married,House / apartment,43.2,8.7,1,0,0,0,4.0,False,0,1,1
22,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.4,19.4,1,0,0,0,3.0,False,0,0,1
23,2,Commercial associate,Higher education,Married,House / apartment,34.0,4.9,1,0,0,1,4.0,False,0,0,1
28,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.3,,1,0,0,0,1.0,False,0,0,1
29,0,Commercial associate,Higher education,Separated,Rented apartment,46.6,3.7,1,0,0,0,1.0,False,0,0,1
31,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,1,0,0,0,1.0,False,0,0,1
45,0,Commercial associate,Higher education,Married,House / apartment,37.4,13.3,1,0,1,0,2.0,False,0,0,0
48,1,Working,Secondary / secondary special,Married,House / apartment,28.3,7.7,1,0,0,0,3.0,False,1,0,1
49,0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,1,0,0,0,2.0,False,0,1,1
54,0,Working,Secondary / secondary special,Married,House / apartment,43.9,2.4,1,0,1,0,2.0,False,1,0,1
55,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1,,1,0,0,0,2.0,False,0,0,1
60,0,Working,Secondary / secondary special,Separated,House / apartment,45.4,3.3,1,1,1,0,1.0,False,0,1,1
62,0,Working,Secondary / secondary special,Married,House / apartment,51.9,17.2,1,1,1,0,2.0,False,1,0,1
69,2,State servant,Higher education,Married,House / apartment,42.3,8.5,1,0,0,1,4.0,False,0,0,1
76,0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.4,29.7,1,0,0,1,2.0,False,0,1,1
77,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.2,,1,0,0,0,2.0,False,0,0,0
78,2,Working,Higher education,Married,House / apartment,30.1,6.3,1,0,0,1,4.0,False,0,0,1
83,0,Working,Secondary / secondary special,Single / not married,House / apartment,24.3,2.4,1,1,0,0,1.0,False,1,0,1
84,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.6,5.7,1,0,0,0,2.0,False,1,1,1
87,0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28.1,8.7,1,0,1,1,2.0,False,0,1,1
88,1,State servant,Higher education,Married,House / apartment,48.6,1.9,1,0,1,1,3.0,False,0,1,1
89,1,Working,Secondary / secondary special,Married,With parents,38.7,3.5,1,0,0,0,3.0,False,1,0,1
90,0,Working,Higher education,Civil marriage,House / apartment,27.6,8.7,1,0,0,1,2.0,False,0,0,1
91,0,Working,Secondary / secondary special,Married,House / apartment,56.2,15.7,1,0,0,0,2.0,False,1,0,1
92,2,Commercial associate,Higher education,Married,House / apartment,40.4,8.2,1,0,0,0,4.0,False,1,1,0
94,1,Commercial associate,Secondary / secondary special,Married,House / apartment,37.5,12.0,1,0,0,1,3.0,False,0,0,1
95,0,Working,Higher education,Separated,House / apartment,36.4,1.5,1,0,0,0,1.0,False,0,0,1
96,2,Working,Secondary / secondary special,Married,With parents,35.2,11.1,1,0,1,0,4.0,False,1,1,1
98,0,Commercial associate,Higher education,Separated,With parents,43.1,1.2,1,0,0,0,1.0,False,0,0,0
107,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.4,,1,0,0,0,1.0,False,1,0,1
108,0,Working,Secondary / secondary special,Civil marriage,House / apartment,26.5,4.3,1,1,1,0,2.0,False,0,0,0
109,0,Working,Higher education,Married,House / apartment,43.4,10.2,1,1,1,0,2.0,False,1,1,0
111,0,Working,Secondary / secondary special,Married,House / apartment,53.6,8.0,1,0,0,0,2.0,False,0,0,0
119,0,Working,Secondary / secondary special,Married,House / apartment,35.4,8.7,1,0,1,0,2.0,False,0,0,0
122,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.7,,1,0,1,1,2.0,False,0,1,0
123,0,Working,Incomplete higher,Married,Co-op apartment,50.2,3.4,1,0,0,0,2.0,False,1,1,0
129,0,Working,Higher education,Married,House / apartment,48.1,15.9,1,1,1,0,2.0,False,0,0,0
132,0,State servant,Secondary / secondary special,Married,House / apartment,57.4,23.8,1,1,1,0,2.0,False,0,0,0
135,0,Working,Higher education,Married,House / apartment,33.8,2.4,1,1,1,0,2.0,False,0,0,0
136,0,Working,Secondary / secondary special,Married,House / apartment,40.2,2.2,1,1,0,0,2.0,False,0,1,0
144,0,Working,Incomplete higher,Married,With parents,29.1,2.7,1,0,1,0,2.0,False,1,1,0
145,0,Working,Higher education,Separated,Municipal apartment,52.3,14.4,1,0,1,0,1.0,False,0,0,0
146,0,Commercial associate,Secondary / secondary special,Married,House / apartment,38.9,5.9,1,0,1,0,2.0,False,0,0,0
147,1,Working,Secondary / secondary special,Married,House / apartment,27.3,2.5,1,1,0,0,3.0,False,1,1,0
