,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo,posse_de_veiculo,posse_de_imovel
0,0,58.8,3.1,1,0,0,0,2.0,False,1,1,1
1,0,52.4,8.4,1,0,1,1,1.0,False,0,0,1
3,0,46.2,2.1,1,1,1,1,2.0,False,1,1,1
4,0,29.2,3.0,1,0,0,0,2.0,False,0,1,0
6,0,27.5,4.0,1,0,1,0,2.0,False,0,0,1
8,1,30.1,4.4,1,0,0,0,2.0,False,0,0,1
10,3,34.8,3.2,1,0,0,0,5.0,False,1,1,1
11,1,32.4,5.5,1,0,0,0,3.0,False,1,0,1
14,0,56.2,12.2,1,0,1,0,2.0,False,1,1,1
19,2,43.2,8.7,1,0,0,0,4.0,False,0,1,1
22,1,44.4,19.4,1,0,0,0,3.0,False,0,0,1
23,2,34.0,4.9,1,0,0,1,4.0,False,0,0,1
28,0,55.3,,1,0,0,0,1.0,False,0,0,1
29,0,46.6,3.7,1,0,0,0,1.0,False,0,0,1
31,0,42.5,8.9,1,0,0,0,1.0,False,0,0,1
45,0,37.4,13.3,1,0,1,0,2.0,False,0,0,0
48,1,28.3,7.7,1,0,0,0,3.0,False,1,0,1
49,0,48.7,4.7,1,0,0,0,2.0,False,0,1,1
54,0,43.9,2.4,1,0,1,0,2.0,False,1,0,1
55,0,61.1,,1,0,0,0,2.0,False,0,0,1
60,0,45.4,3.3,1,1,1,0,1.0,False,0,1,1
62,0,51.9,17.2,1,1,1,0,2.0,False,1,0,1
69,2,42.3,8.5,1,0,0,1,4.0,False,0,0,1
76,0,54.4,29.7,1,0,0,1,2.0,False,0,1,1
77,0,51.2,,1,0,0,0,2.0,False,0,0,0
78,2,30.1,6.3,1,0,0,1,4.0,False,0,0,1
83,0,24.3,2.4,1,1,0,0,1.0,False,1,0,1
84,0,28.6,5.7,1,0,0,0,2.0,False,1,1,1
87,0,28.1,8.7,1,0,1,1,2.0,False,0,1,1
88,1,48.6,1.9,1,0,1,1,3.0,False,0,1,1
89,1,38.7,3.5,1,0,0,0,3.0,False,1,0,1
90,0,27.6,8.7,1,0,0,1,2.0,False,0,0,1
91,0,56.2,15.7,1,0,0,0,2.0,False,1,0,1
92,2,40.4,8.2,1,0,0,0,4.0,False,1,1,0
94,1,37.5,12.0,1,0,0,1,3.0,False,0,0,1
95,0,36.4,1.5,1,0,0,0,1.0,False,0,0,1
96,2,35.2,11.1,1,0,1,0,4.0,False,1,1,1
98,0,43.1,1.2,1,0,0,0,1.0,False,0,0,0
107,0,59.4,,1,0,0,0,1.0,False,1,0,1
108,0,26.5,4.3,1,1,1,0,2.0,False,0,0,0
109,0,43.4,10.2,1,1,1,0,2.0,False,1,1,0
111,0,53.6,8.0,1,0,0,0,2.0,False,0,0,0
119,0,35.4,8.7,1,0,1,0,2.0,False,0,0,0
122,0,62.7,,1,0,1,1,2.0,False,0,1,0
123,0,50.2,3.4,1,0,0,0,2.0,False,1,1,0
129,0,48.1,15.9,1,1,1,0,2.0,False,0,0,0
132,0,57.4,23.8,1,1,1,0,2.0,False,0,0,0
135,0,33.8,2.4,1,1,1,0,2.0,False,0,0,0
136,0,40.2,2.2,1,1,0,0,2.0,False,0,1,0
144,0,29.1,2.7,1,0,1,0,2.0,False,1,1,0
145,0,52.3,14.4,1,0,1,0,1.0,False,0,0,0
146,0,38.9,5.9,1,0,1,0,2.0,False,0,0,0
147,1,27.3,2.5,1,1,0,0,3.0,False,1,1,0
149,0,43.8,24.6,1,0,0,0,1.0,False,0,0,0
150,0,28.1,4.5,1,1,1,0,2.0,False,1,1,0
153,0,40.5,6.7,1,0,1,0,2.0,False,1,0,0
159,0,41.5,13.2,1,0,1,0,2.0,False,0,0,0
168,0,57.6,,1,0,1,0,2.0,False,0,0,0
169,0,44.1,5.1,1,0,1,0,1.0,False,0,0,0
170,0,60.4,,1,0,0,0,1.0,False,0,0,0
172,0,55.2,,1,0,1,1,2.0,False,0,1,0
181,0,57.5,12.9,1,0,1,0,2.0,False,1,1,0
185,0,44.4,19.4,1,0,0,0,1.0,False,0,0,0
186,0,51.2,14.5,1,1,1,0,2.0,False,1,0,0
187,0,29.4,6.7,1,0,0,0,2.0,False,1,1,0
191,0,58.0,0.4,1,0,1,0,2.0,False,1,0,0
192,0,54.0,14.4,1,1,1,0,2.0,False,0,0,0
193,0,40.7,1.6,1,1,0,0,2.0,False,1,1,0
196,0,63.5,,1,0,1,1,2.0,False,1,1,0
198,2,30.9,4.8,1,1,0,1,4.0,False,0,0,0
199,1,25.8,3.3,1,1,0,0,3.0,False,1,1,0
201,0,40.3,15.3,1,0,1,0,2.0,False,0,0,0
203,0,30.2,8.7,1,0,0,0,1.0,False,1,0,0
206,1,34.3,1.4,1,1,0,0,3.0,False,0,0,0
212,0,56.5,0.7,1,1,1,0,2.0,False,1,0,0
213,0,38.1,6.3,1,1,1,0,2.0,False,1,0,0
215,0,52.9,1.3,1,1,1,0,1.0,False,0,0,0
216,0,22.4,3.6,1,1,0,0,1.0,False,1,0,0
217,0,64.3,,1,0,0,0,2.0,False,0,0,0
219,0,47.3,3.7,1,0,1,0,2.0,False,0,0,0
224,0,54.0,27.0,1,1,1,0,2.0,False,0,0,0
229,0,36.3,12.2,1,0,1,0,2.0,False,0,0,0
230,0,33.2,2.2,1,0,0,0,2.0,False,0,0,0
231,2,26.7,7.9,1,0,0,0,4.0,False,0,0,0
234,0,44.4,17.0,1,1,1,0,2.0,False,1,1,0
236,0,32.1,3.2,1,1,0,1,2.0,False,1,1,0
243,0,44.1,13.5,1,0,1,0,2.0,False,0,0,0
245,0,46.3,7.4,1,0,0,0,2.0,False,0,0,0
248,2,34.1,6.0,1,1,0,0,4.0,False,1,1,0
250,1,32.9,3.1,1,1,0,0,2.0,False,1,1,0
251,0,37.2,2.7,1,0,1,0,2.0,False,0,1,0
255,0,42.5,4.8,1,1,1,0,2.0,False,0,1,0
256,0,51.5,26.7,1,0,0,0,2.0,False,0,0,0
265,0,55.6,,1,0,1,0,1.0,False,0,0,0
266,0,41.5,8.6,1,1,1,0,2.0,False,1,1,0
268,0,58.4,,1,0,0,0,2.0,False,0,0,0
270,0,32.0,1.9,1,0,0,0,1.0,False,0,0,0
271,0,39.4,2.2,1,0,1,0,1.0,False,0,0,0
272,0,23.2,5.0,1,0,1,0,2.0,False,0,1,0
273,0,47.6,2.4,1,1,1,0,2.0,False,0,1,0
275,0,36.9,7.5,1,1,1,0,2.0,False,0,1,0
276,1,35.3,10.2,1,1,0,0,3.0,False,0,0,0
277,2,33.6,2.7,1,1,1,0,4.0,False,0,0,0
278,0,47.6,,1,0,0,0,2.0,False,1,1,0
279,0,52.2,0.3,1,1,0,0,2.0,False,1,1,0
282,0,52.9,9.0,1,1,0,0,2.0,False,0,0,0
284,0,52.9,9.0,1,1,0,0,2.0,True,0,0,0
286,0,27.1,5.6,1,0,1,0,2.0,False,0,0,0
287,0,58.7,,1,0,1,0,2.0,False,0,0,0
289,0,23.3,2.5,1,1,0,0,1.0,False,1,0,0
290,0,40.2,10.0,1,1,0,0,1.0,False,1,0,0
291,0,51.1,30.0,1,0,1,0,2.0,False,0,0,0
295,0,27.9,4.9,1,1,0,0,1.0,False,1,0,0
298,0,52.6,,1,0,0,0,1.0,False,0,0,0
301,0,59.4,,1,0,1,0,1.0,False,0,0,0
309,0,63.8,,1,0,1,0,1.0,False,0,0,0
310,0,35.6,4.3,1,0,1,1,2.0,False,1,1,0
314,0,25.7,4.7,1,1,1,0,1.0,False,1,0,0
318,0,52.9,12.2,1,1,1,0,1.0,False,0,0,0
319,0,27.1,6.8,1,0,1,0,2.0,False,0,0,0
321,0,36.1,3.6,1,1,0,0,2.0,False,1,1,0
